Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
A research study for detection of cardiac disease during pregnancy using a novel noninvasive device.,38,40,35,36,41,44,43,33,51,44,41,42,40,60,33,47,42,48,32,57,39,38,43,32,36,46,33,41,40,57,62,40,40,64,60,68,32,33,51,57,45,52,43,56,23,42,31,23,50,34,43,33,38,40,50,50,50,57,47,61,52,40,61,40,38,62,28,47,50,40,71,28,33,42,33,38,56,26,47,53,46,45,40,39,39,42,50,40,35,50,47,40,44,33,42,42,50,44,38,45,50,74,50,28,22,47,50,31,56,35,34,32,58,30,41,39,33,33,47,53,45,40,38,30,46,38,43,25,31,42,46,35,48,57,38,39,39,39,28,32,42,38,38,57,40,31,26,38,60,44,35,38,33,28,41,45,39,44,44,46,50,30,41,36,44,42,36,45,38,31,31,47,57,47,41,33,43,35,36,38,36,42,43,47,50,33,68,38,55,60,52,43,50,31,43,40,33,38,56,32,25,50,50,45,52,35,38,43,40,32,41,55,36,38,47,33,53,50,33,30,39,38,57,47,57,33,33,43,33,38,33,50,42,45,33,35,43,36,55,43,38,25,50,56,43,38,44,38,35,63,41,40,43,50,40
Low cost digital patholgy to predict ER positive breast cancer,38,40,37,38,41,28,38,38,36,38,41,50,40,50,67,41,39,38,36,43,36,38,64,36,54,100,47,41,47,39,50,30,60,43,40,36,29,29,35,39,35,38,52,50,45,46,54,38,39,32,38,38,54,33,33,45,30,32,29,39,43,47,46,50,31,38,33,33,38,40,35,34,33,42,30,38,43,42,53,37,42,41,40,39,36,33,42,40,29,30,33,40,34,44,35,42,64,50,38,31,50,32,36,33,41,31,38,38,38,35,33,37,38,27,36,33,43,38,32,38,27,47,62,32,54,31,57,38,54,58,54,40,40,43,44,26,33,42,39,32,35,30,31,43,40,31,33,38,35,33,31,38,39,20,27,45,44,38,33,26,28,38,36,33,44,32,36,25,42,49,38,40,38,36,33,38,43,40,43,44,36,50,64,59,42,40,40,48,43,40,44,43,40,38,39,67,40,50,33,38,25,50,40,41,35,42,31,43,33,31,36,40,31,43,41,44,33,64,33,30,43,38,29,59,43,42,33,64,45,38,35,36,33,50,33,39,33,23,42,35,37,48,33,44,64,38,41,31,35,32,36,35,36,50,24
Study the effect of haridra powder on blood sugar in pre diabetic patients,38,47,35,32,44,38,43,46,27,25,53,42,50,50,50,41,39,32,52,39,43,38,36,36,41,38,33,45,40,39,38,30,28,29,55,32,36,38,41,32,31,48,43,38,41,38,35,27,44,24,38,43,38,34,33,40,40,46,47,39,39,37,33,40,38,50,39,44,44,40,35,38,25,33,41,38,56,47,35,47,39,34,20,39,42,38,42,30,35,35,40,40,31,28,42,32,50,44,27,40,25,37,32,40,38,38,50,38,31,38,34,38,38,43,36,33,37,29,37,41,41,40,38,40,38,31,43,38,35,33,54,45,32,57,38,35,36,39,39,19,44,28,38,29,40,44,33,62,35,37,38,31,33,36,30,45,33,38,67,44,39,34,45,36,33,47,41,45,42,36,21,40,28,25,41,38,29,40,50,44,42,50,43,41,50,38,37,42,45,40,28,36,20,37,50,47,44,50,44,28,62,50,45,45,35,32,46,57,27,38,32,40,33,38,35,33,36,36,33,43,43,25,48,47,43,40,29,42,38,38,44,36,33,25,40,39,37,32,33,34,42,32,40,56,42,44,37,52,39,37,27,35,43,33,40
A study to correlate the investigational outcome following eye surgery,38,40,35,45,35,38,43,29,29,44,47,25,40,30,50,35,42,42,40,39,29,31,36,44,36,46,33,41,37,30,38,40,33,36,50,36,24,38,35,29,29,48,43,38,36,38,42,38,28,28,38,38,31,47,33,35,40,29,41,44,40,37,44,30,46,62,40,33,44,60,29,41,33,25,31,38,50,44,41,47,36,41,60,44,36,38,42,60,40,35,27,40,28,30,38,35,37,38,62,45,75,37,32,44,38,44,50,31,31,38,31,32,35,38,45,38,43,38,33,27,32,40,46,25,38,38,43,38,36,42,46,35,37,29,38,30,39,39,44,42,32,40,38,43,40,45,45,62,35,30,31,50,39,33,35,27,28,31,33,31,44,39,36,38,33,37,38,30,38,21,19,23,31,31,33,54,43,35,43,31,43,42,30,35,50,43,32,46,35,40,37,36,50,33,43,33,41,38,33,40,25,50,45,45,30,38,46,43,33,38,27,30,42,43,35,33,37,42,50,35,33,38,38,41,43,33,42,46,33,50,44,36,25,33,53,36,47,55,35,35,46,42,33,33,37,38,33,45,39,37,27,25,36,67,30
This study is helpful in knowing the effect of oral massage among preterm infants between 28-34 weeks of gestation who are on nasogastric tube feed to improve the sucking reflex of the infants so that they can transit early from nasogastric tube feed to full paladai feed.,23,27,35,32,24,22,10,21,28,38,29,17,30,10,33,12,23,32,28,43,25,19,50,32,33,62,33,23,30,30,0,20,20,14,35,41,36,25,30,32,29,24,13,6,27,58,27,27,6,29,33,19,23,27,0,30,20,43,35,6,26,33,33,10,31,12,17,33,19,20,29,38,25,17,20,15,33,25,29,33,36,34,20,22,39,21,33,40,23,20,20,10,34,36,21,32,21,25,12,5,25,37,27,22,20,20,38,38,31,35,25,26,35,27,27,20,33,25,37,24,18,27,38,35,54,23,29,25,27,25,38,25,32,0,25,39,27,23,17,21,35,33,18,29,20,19,25,12,15,22,23,25,28,20,15,27,39,31,33,26,22,32,23,18,22,32,23,35,33,27,27,28,23,25,30,25,14,20,29,31,7,25,36,18,17,21,37,25,25,25,32,14,10,33,33,20,26,12,22,23,25,33,20,27,17,30,38,29,20,23,27,25,40,24,24,22,30,29,33,30,35,25,29,29,29,8,22,43,36,25,28,21,8,25,27,17,27,27,26,32,25,23,8,0,29,19,30,31,30,37,23,30,36,33,50
Comparison of outcomes in total knee replacement done with help of computer navigation guided and robotic arm assisted technology.,54,47,35,45,44,47,33,42,46,31,35,33,50,50,50,30,42,32,40,35,43,44,36,52,38,38,33,36,47,39,38,32,40,21,45,32,32,33,38,36,43,43,48,38,41,42,42,33,39,41,38,52,46,40,50,40,30,39,29,44,43,43,33,40,46,38,39,22,44,40,41,41,35,42,43,46,39,35,35,40,46,41,40,39,36,38,33,35,35,30,40,50,41,36,42,39,43,44,50,40,75,42,45,44,40,40,50,31,38,38,33,47,35,30,41,37,36,33,37,41,45,47,46,40,38,46,43,38,46,42,33,40,44,57,31,39,42,42,50,37,39,47,40,57,40,44,50,62,35,41,35,44,33,32,34,38,39,50,44,33,44,34,41,40,56,32,41,30,38,31,35,33,32,36,41,46,43,40,43,44,57,50,43,35,42,38,63,46,40,40,44,36,50,37,43,47,48,50,44,34,38,50,45,41,48,35,38,43,47,38,27,40,38,33,41,44,43,43,50,35,43,38,38,35,43,42,39,36,42,50,33,43,42,33,40,43,33,41,35,35,42,45,42,33,43,44,41,38,35,37,41,40,36,33,30
"A Crossover designed, Placebo Controlled Study to evaluate the effects of supplement REPHYLL on delayed onset muscle soreness (DOMS) in humans.",38,53,30,50,50,34,52,33,41,38,47,42,35,30,33,35,39,35,44,48,32,44,43,44,38,31,33,45,33,48,38,30,40,43,35,41,32,38,30,46,31,48,48,38,41,38,38,33,39,46,38,30,31,47,50,45,30,36,41,44,39,33,50,30,38,38,50,33,44,60,35,39,42,25,35,46,39,38,47,47,46,38,40,39,36,42,42,50,39,30,27,30,38,36,38,35,44,38,25,35,50,37,36,39,28,36,50,31,44,38,32,37,35,35,36,33,37,33,50,35,45,36,46,40,46,46,57,38,35,42,31,30,40,43,38,35,30,35,44,32,42,44,38,29,40,44,52,50,35,26,38,44,44,36,32,36,33,44,56,38,39,25,32,36,56,63,36,40,46,38,35,35,30,39,41,36,36,45,43,38,30,35,36,35,33,38,47,42,35,35,32,36,40,37,46,40,37,38,56,34,38,33,40,45,43,40,46,43,33,38,36,50,42,52,41,33,38,42,67,30,48,50,38,41,43,33,42,43,39,38,33,36,42,29,40,30,37,32,36,41,42,32,33,33,43,31,41,41,39,37,55,30,29,50,40
Comparative study to assess the effect of using steroids in early phase of acute lung injury with lowered oxygenation in children versus children with similar lung aliment who did not receive steroids in same early phase.,46,53,48,45,44,25,33,29,44,38,35,33,30,40,33,35,32,35,40,26,32,50,7,40,28,15,13,27,30,43,25,30,27,21,25,23,24,21,38,36,38,29,35,25,23,29,38,29,28,39,43,19,15,20,0,45,30,39,24,22,17,37,50,40,23,25,22,33,25,0,41,41,42,33,28,23,17,42,24,43,36,38,0,17,32,17,25,35,39,25,33,40,41,28,38,23,29,44,0,25,25,26,23,28,35,20,38,44,31,38,31,26,15,27,27,33,27,17,42,12,14,27,15,20,23,23,29,12,35,50,31,35,44,14,19,17,27,32,22,11,35,18,27,0,30,19,33,25,15,37,35,31,33,32,32,36,28,31,44,31,28,27,27,27,33,26,27,40,33,20,21,33,38,31,26,25,29,25,14,25,36,33,29,41,58,31,42,42,30,25,44,21,20,30,29,40,30,38,33,30,25,17,30,32,13,30,54,14,33,31,27,25,31,29,24,22,37,21,17,30,22,25,33,18,29,25,28,29,30,25,44,29,25,17,27,43,40,45,42,35,29,35,42,22,21,25,33,28,30,32,23,35,36,25,30
"3d printed acrylic cranioplasty-A Pilot Study to Evaluate the Implant Properties, Safety Profile and Clinical Efficacy of Cranioplasty with Human Subject-Specific Acrylic Prosthesis Using 3D Printed Cranium Model",31,33,35,36,26,15,24,17,23,19,18,25,40,20,33,35,19,35,20,35,35,19,29,24,18,38,20,27,30,35,12,30,33,9,30,27,24,21,35,18,24,33,17,19,32,21,31,21,28,27,33,29,31,33,33,25,20,14,41,22,17,24,23,30,15,38,22,33,25,20,29,38,25,25,27,23,33,31,18,27,29,28,0,33,36,26,33,30,32,26,20,50,16,19,18,26,40,27,14,31,25,37,23,22,28,25,38,38,19,31,31,21,33,30,18,26,27,29,26,29,18,13,23,15,15,15,0,12,15,42,38,20,24,14,25,35,15,13,17,21,26,35,27,0,50,19,25,25,30,20,16,19,33,24,31,18,17,31,22,29,17,27,27,27,11,32,14,30,33,20,23,37,18,44,30,25,21,20,14,31,29,33,50,18,25,19,26,17,25,20,24,21,50,33,19,20,27,25,22,32,0,33,20,32,17,25,31,29,27,15,32,11,24,33,29,33,37,29,17,17,35,12,52,29,14,17,39,21,35,25,22,29,25,33,33,26,20,18,23,24,42,24,33,11,29,31,26,24,30,37,32,50,36,33,40
Comparison of intravenous iron preparations in iron deficiency anemia in pregnancy,46,53,43,41,35,34,43,33,28,50,41,33,40,60,50,47,37,38,36,43,39,56,43,40,44,46,40,41,37,39,50,40,40,43,40,32,40,38,38,43,36,43,48,44,36,46,38,29,44,27,38,33,38,33,33,30,60,29,35,33,65,37,33,40,38,50,33,33,44,40,65,31,50,50,37,42,39,42,35,43,39,28,20,33,36,36,58,45,42,35,73,40,31,39,42,32,29,38,62,45,50,37,27,33,30,31,38,31,25,35,31,37,35,30,50,37,50,33,39,82,36,40,38,30,46,38,43,50,38,42,54,40,20,57,31,39,36,38,39,27,35,29,36,29,50,44,42,50,30,33,31,38,33,28,31,45,44,45,56,33,39,38,41,36,44,42,32,35,43,33,30,40,38,31,48,62,36,40,36,38,43,58,50,59,58,38,58,42,40,45,32,50,50,41,29,53,43,38,33,38,38,50,50,38,37,35,46,43,33,46,38,40,38,43,41,33,50,43,50,32,35,38,38,41,57,42,39,43,36,50,50,38,33,25,40,39,50,55,29,32,46,39,33,44,43,38,39,38,52,42,32,75,29,33,50
to compare the time taken to achieve adequate level of spinal anesthesia between lateral vs sitting position required for cesarean section,38,47,39,45,41,38,33,29,36,44,41,33,60,40,50,29,48,32,36,35,36,31,43,40,49,54,40,23,33,30,50,40,40,36,40,41,28,33,35,36,36,48,39,38,45,33,42,33,33,39,38,33,38,40,50,40,40,43,47,39,39,43,35,50,38,38,33,56,38,60,29,38,42,42,32,38,56,42,41,40,61,41,60,33,44,46,42,35,35,40,33,40,31,33,38,42,43,38,62,50,50,47,32,22,38,36,50,31,38,46,38,42,38,36,45,35,57,42,34,41,41,40,38,35,46,31,43,38,50,58,38,35,36,43,38,31,42,45,50,53,32,44,51,29,40,38,58,38,40,44,27,38,39,36,24,36,44,44,44,36,33,38,45,49,33,42,32,35,46,36,33,33,38,36,41,38,36,35,43,38,36,50,36,47,42,40,47,42,45,35,44,29,50,37,43,40,44,38,44,36,38,50,55,55,39,45,38,43,40,38,27,35,36,33,41,33,40,29,50,39,35,25,43,41,71,42,39,43,42,62,44,50,33,42,33,30,37,36,39,32,46,35,42,33,43,44,44,38,43,32,36,35,36,42,30
Usefulness of early movement after child birth via caesarean section,48,40,35,36,38,38,29,33,38,33,41,42,40,50,33,35,39,36,36,43,37,31,50,48,41,62,40,32,40,37,62,40,47,36,45,38,36,36,37,46,30,33,39,25,32,46,42,26,17,32,34,29,31,53,33,35,30,32,35,28,22,33,39,40,31,25,33,33,38,40,41,44,42,50,30,54,67,47,47,43,43,38,40,44,39,33,42,45,23,40,27,30,34,36,39,25,29,44,25,50,25,38,40,33,28,27,38,50,31,46,33,37,35,32,33,24,41,33,36,29,45,40,38,40,46,43,43,38,38,50,31,40,29,57,44,39,39,29,33,26,23,40,38,57,50,38,33,38,45,33,35,30,22,26,17,36,44,50,47,33,33,38,45,38,35,38,34,45,42,42,44,35,35,42,44,33,36,45,37,46,43,42,44,47,42,43,37,38,35,42,44,26,40,41,43,53,44,38,40,39,25,50,35,45,43,35,46,57,33,38,36,50,36,33,31,33,39,43,50,43,43,38,43,47,57,50,34,43,45,38,39,43,42,50,33,30,43,36,26,38,42,39,50,56,50,44,37,31,30,56,41,46,21,33,46
Attitudes Towards Rape Victims in Relation to Morals of Young Adults.,46,53,30,41,53,44,43,38,19,44,47,58,30,30,33,41,55,43,48,39,39,31,29,36,33,38,33,41,33,29,38,40,40,36,40,32,24,24,30,36,29,38,39,44,40,29,38,27,39,29,43,33,38,40,50,40,40,39,41,33,26,37,33,20,23,38,39,33,56,60,28,34,42,58,35,38,39,31,29,37,39,34,60,44,39,38,42,45,39,40,37,30,34,25,38,32,43,50,38,45,50,42,36,33,32,36,62,38,31,35,23,32,31,38,37,29,37,42,42,29,36,33,17,30,46,27,29,25,50,17,38,35,36,43,38,39,37,35,39,42,42,28,30,29,30,38,42,38,35,48,42,38,39,36,25,55,33,50,44,38,39,38,27,29,44,47,41,35,42,33,31,35,29,39,37,38,36,45,57,38,50,42,36,47,50,43,42,46,35,45,36,29,32,43,33,33,41,50,44,40,50,50,60,41,35,42,46,43,33,38,36,40,33,43,35,44,40,43,33,39,39,25,43,41,43,25,33,36,33,38,50,33,33,33,40,35,37,45,39,43,42,39,33,33,36,43,37,41,30,53,36,40,42,42,40
Comparison of pain relief after breast operation with and without injection in the back,46,40,35,32,38,50,33,25,44,38,35,33,40,50,50,47,45,42,36,39,32,38,50,48,41,77,20,32,40,30,25,40,33,36,55,36,28,33,38,32,40,38,43,44,32,38,43,37,50,34,43,38,46,40,17,35,50,43,41,33,30,42,28,50,46,62,33,33,50,40,41,35,42,42,39,46,56,36,35,50,32,38,20,39,46,29,33,40,39,35,27,40,38,33,46,35,36,38,50,55,75,42,36,33,45,36,50,31,38,35,31,42,31,38,41,33,40,38,39,26,41,40,38,45,46,38,29,38,42,50,54,40,36,57,44,30,42,35,39,32,35,34,47,43,40,31,42,50,40,30,31,31,33,32,34,45,44,44,67,46,33,36,36,49,44,42,36,35,46,29,33,35,32,36,37,33,29,40,36,38,50,42,43,53,50,52,63,33,35,45,40,43,70,41,33,40,48,50,44,36,38,50,45,64,39,44,46,29,40,38,41,35,42,33,41,33,40,43,50,21,35,38,43,41,57,33,35,36,36,38,39,43,33,33,27,39,40,41,29,38,54,41,42,44,36,31,37,38,35,37,32,40,40,33,40
"Study of Osimertinib as maintenance therapy in patients with locally advanced, unresectable Non-Small Cell Lung Cancer whose disease has not progressed following platinum-based chemoradiation therapy",46,47,30,27,41,38,43,38,49,38,47,33,40,40,50,41,42,38,44,52,46,44,71,38,49,77,40,41,37,57,50,40,67,64,50,59,32,29,46,54,45,52,52,44,41,38,38,29,39,37,43,38,38,33,33,35,50,57,47,61,39,37,67,60,46,62,33,56,50,40,29,38,42,42,41,46,44,39,53,40,43,41,60,44,29,38,33,35,39,60,33,40,50,50,38,48,50,44,50,40,25,58,45,33,42,40,38,44,69,42,38,42,50,38,41,49,40,38,42,35,50,47,62,35,62,31,43,38,54,67,38,40,36,43,50,26,39,45,39,53,35,38,40,57,40,38,42,62,55,33,42,31,39,29,43,64,50,44,56,41,33,36,41,36,44,32,41,40,50,51,48,40,43,47,41,42,50,40,36,44,50,50,50,59,50,40,58,46,50,55,48,36,50,37,43,53,48,50,56,47,62,50,35,36,52,40,46,57,40,46,41,55,44,43,65,33,47,64,33,35,35,38,52,53,57,42,44,57,58,38,39,43,42,33,40,36,43,41,45,43,38,35,33,44,57,38,44,34,39,58,45,40,36,50,30
Immediate Effect Of Dynamic Cupping In Teachers With Neck Pain.,42,41,35,36,39,41,33,38,38,44,35,35,24,30,50,41,32,24,40,40,41,31,36,44,37,38,47,36,37,30,38,40,38,42,50,45,40,42,35,29,31,43,35,38,36,42,40,29,46,31,43,38,38,33,33,30,42,43,42,39,43,37,39,50,38,38,28,44,38,40,47,34,42,42,35,31,50,33,36,37,39,34,20,44,35,33,33,45,39,36,33,40,28,33,27,28,43,25,38,45,25,47,41,34,33,38,43,31,38,37,31,42,42,41,45,30,40,33,39,47,41,40,42,35,38,38,43,38,42,43,69,35,32,43,44,43,32,35,33,37,24,29,45,57,32,38,42,50,45,28,31,38,39,26,39,45,34,31,67,41,39,34,41,40,44,47,36,30,33,23,31,26,28,25,33,34,43,35,29,44,44,58,43,47,43,36,42,30,35,42,36,29,40,30,33,33,27,40,22,34,25,33,32,41,41,30,31,31,31,33,32,35,38,30,47,22,37,43,33,30,31,29,41,41,43,29,20,48,33,50,33,36,42,42,33,36,43,32,32,33,33,32,42,44,42,44,45,38,35,42,36,45,43,42,42
To study the effects of trip hala decoction and honey gargle and only trip hala decoction gargle on oral health.,38,40,35,36,38,41,24,29,36,34,35,50,40,30,33,41,39,38,40,35,36,33,29,44,36,46,33,41,40,35,38,30,33,43,30,36,32,33,35,39,31,48,61,50,50,46,42,36,50,29,34,38,46,40,33,35,40,39,35,39,39,43,39,50,38,25,33,44,38,40,47,38,33,42,37,38,44,33,41,50,36,41,60,44,43,38,33,51,35,30,33,50,41,39,46,42,36,38,38,40,25,37,36,33,42,38,38,44,38,38,33,37,35,43,36,31,47,33,37,47,41,33,38,30,23,31,43,38,42,33,38,30,32,57,44,35,42,42,33,26,30,43,41,43,30,38,42,38,40,31,32,31,33,28,26,45,33,31,44,41,33,36,41,44,33,47,32,40,38,27,35,35,32,39,48,33,43,45,43,44,43,33,36,47,33,36,32,34,30,31,40,43,40,37,33,40,37,38,44,38,25,50,40,45,39,35,32,29,33,35,36,40,38,29,41,33,40,29,33,30,35,29,48,35,29,42,44,36,42,25,39,35,48,33,40,43,23,27,30,38,42,35,33,33,36,31,41,31,48,37,23,35,43,33,30
Experiences of the indian parents and caregivers while taking care of the child suffering with medulloblastoma (a type of neurological cancer),54,47,37,32,47,44,33,33,36,50,35,42,40,40,83,36,32,32,36,39,43,44,64,40,49,62,53,36,43,39,50,40,73,36,40,32,32,29,35,32,45,43,65,31,55,38,42,29,39,34,43,38,38,33,50,40,32,39,53,39,43,37,39,40,38,50,44,44,38,60,35,41,42,42,37,38,44,39,59,40,46,45,40,34,36,42,50,45,35,50,47,30,41,44,46,39,43,38,62,35,25,37,59,44,38,33,50,38,31,38,31,52,31,38,50,31,40,38,47,59,41,40,62,30,69,40,29,40,58,67,38,35,40,43,38,57,48,35,39,42,48,44,40,43,50,38,42,25,55,41,35,44,33,40,35,45,50,50,33,41,39,39,41,38,56,42,68,40,50,44,44,35,34,39,37,46,50,45,43,38,36,42,71,65,42,36,42,46,25,45,40,36,40,41,38,60,30,38,44,30,38,50,40,32,40,45,46,43,33,46,36,45,29,48,48,44,43,64,50,30,39,50,52,59,43,42,39,57,48,50,39,43,33,42,40,48,37,41,35,35,29,39,50,56,57,50,41,34,35,47,41,45,36,50,50
A Study of Gut flora in patients with gallbladder cancer,54,47,39,41,32,38,43,26,38,44,35,42,30,40,40,47,33,35,44,35,36,44,64,36,41,62,47,32,34,39,38,32,60,36,40,27,20,25,24,27,22,38,52,38,32,25,36,24,39,29,43,26,38,27,67,35,50,32,42,28,36,29,28,40,31,38,39,50,50,60,35,38,33,29,28,31,30,39,71,33,36,41,60,39,39,29,38,35,45,35,40,40,53,61,33,26,36,38,38,40,75,47,32,28,40,30,29,38,25,38,30,42,35,41,27,29,44,33,26,35,32,33,54,31,69,23,29,25,54,75,54,30,36,43,44,32,31,39,39,37,26,36,37,43,40,38,25,38,30,35,35,31,33,32,26,29,50,31,56,31,39,26,32,37,33,32,36,35,38,40,44,28,35,34,33,40,36,35,36,44,32,42,64,53,50,36,47,38,30,32,30,21,30,30,35,60,29,50,33,30,38,50,30,50,35,25,38,57,30,38,40,30,44,38,38,22,30,64,33,24,39,27,43,53,57,29,20,57,42,38,39,29,25,29,30,30,33,27,32,31,42,28,33,33,57,31,41,41,35,37,32,40,36,42,30
Rectal diclofenac in day care breast surgery,38,20,23,24,38,38,37,38,36,44,47,42,30,50,67,29,38,42,36,39,27,44,43,32,43,77,33,41,37,43,38,20,47,36,45,45,28,29,35,48,27,43,48,50,38,46,39,38,40,21,40,29,38,34,33,40,30,32,24,46,48,40,39,40,38,38,30,33,44,40,47,31,42,42,40,31,56,51,29,33,39,34,60,50,39,38,42,40,43,35,47,29,38,28,38,37,50,47,17,35,25,47,45,39,29,43,38,31,31,35,40,42,38,31,36,36,38,38,31,59,41,40,38,38,38,23,43,38,42,33,38,30,40,43,27,24,44,42,33,32,25,34,30,43,40,38,42,50,30,44,31,38,33,40,31,36,33,38,56,37,39,39,45,30,33,46,36,30,29,34,39,45,42,42,37,46,29,28,36,44,29,33,29,41,42,38,42,29,40,40,40,21,40,35,44,33,20,25,33,36,38,50,45,51,39,30,36,57,20,38,23,35,36,43,41,33,43,29,50,30,35,38,43,41,57,42,40,36,30,25,34,36,26,33,33,30,34,26,39,46,49,42,22,44,36,33,33,49,30,53,27,55,36,33,20
